v_individual_id	t_hunting_year	v_age	v_year_birth	v_sex	pvarV1	pvarV2
2005_57	2004_2005	2	2002	female	0.555	0.551
2005_60	2004_2005	2	2002	female	0.564	0.556
2005_61	2004_2005	6	1998	female	0.552	NA
2005_62	2004_2005	2	2002	male	0.56	0.552
2005_63	2004_2005	5	1999	male	0.556	NA
2005_64	2004_2005	2	2002	female	0.55	0.545
2005_68	2004_2005	2	2002	female	0.549	0.551
2005_72	2004_2005	6	1998	female	0.035	NA
2005_73	2004_2005	2	2002	female	0.549	0.557
2005_76	2004_2005	5	1999	female	0.56	NA
2005_77	2004_2005	2	2002	male	0.557	0.554
2005_78	2004_2005	0	2004	male	0.002	0.065
2005_81	2004_2005	2	2002	female	0.555	0.555
2005_82	2004_2005	3	2001	female	0.555	0.582
2005_83	2004_2005	2	2002	female	0.554	0.554
2005_87	2004_2005	2	2002	female	0.558	0.558
2005_88	2004_2005	0	2004	female	0.077	0.568
2005_89	2004_2005	1	2003	female	0.558	0.567
2005_90	2004_2005	6	1998	male	0.559	NA
2005_91	2004_2005	1	2003	male	0.557	0.562
2005_93	2004_2005	2	2002	female	0.564	0.547
2005_94	2004_2005	2	2002	female	0.557	0.549
2005_95	2004_2005	3	2001	male	0.554	0.579
2005_97	2004_2005	3	2001	female	0.563	0.577
2006_01	2005_2006	2	2003	male	0.555	0.565
2006_02	2005_2006	0	2005	male	0.556	0.573
2006_04	2005_2006	3	2002	male	0.555	0.554
2006_05	2005_2006	0	2005	male	0.058	0.575
2006_06	2005_2006	3	2002	male	0.554	0.548
2006_07	2005_2006	0	2005	female	0.015	0.104
2006_08	2005_2006	0	2005	female	0.555	0.572
2006_09	2005_2006	2	2003	female	0.549	0.562
2006_10	2005_2006	6	1999	male	0.553	NA
2006_105	2006_2007	5	2001	male	0.086	0.02
2006_11	2005_2006	4	2001	male	0.553	0.579
2006_110	2006_2007	0	2006	male	0.555	0.595
2006_12	2005_2006	0	2005	female	0.559	0.574
2006_124	2006_2007	2	2004	female	0.552	0.119
2006_128	2006_2007	0	2006	female	0.555	0.584
2006_129	2005_2006	3	2002	female	0.547	0.551
2006_13	2005_2006	0	2005	male	0.064	0.151
2006_130	2006_2007	2	2004	female	0.557	0.094
2006_134	2006_2007	1	2005	female	0.56	0.582
2006_138	2006_2007	0	2006	female	0.556	0.587
2006_14	2005_2006	3	2002	male	0.55	0.544
2006_147	2006_2007	1	2005	male	0.564	0.585
2006_15	2005_2006	0	2005	female	0.553	0.571
2006_152	2005_2006	2	2003	female	0.548	0.561
2006_157	2006_2007	0	2006	male	0.559	0.584
2006_16	2005_2006	4	2001	male	0.021	0.006
2006_17	2005_2006	1	2004	male	0.558	0.56
2006_18	2006_2007	NA	2006	male	0.07	0.161
2006_19	2005_2006	0	2005	female	0.549	0.585
2006_20	2005_2006	2	2003	male	0.55	0.559
2006_203	2005_2006	0	2005	male	0.553	0.569
2006_204	2006_2007	8	1998	male	0.554	NA
2006_207	2006_2007	0	2006	male	0.557	0.589
2006_208	2006_2007	0	2006	male	0.559	0.58
2006_21	2005_2006	2	2003	female	0.078	0.121
2006_22	2005_2006	2	2003	male	0.552	0.565
2006_23	2005_2006	3	2002	male	0.014	0.013
2006_24	2005_2006	2	2003	male	0.014	0.012
2006_25	2005_2006	1	2004	male	0.55	0.563
2006_26	2005_2006	2	2003	female	0.006	0.016
2006_27	2005_2006	0	2005	female	0.552	0.581
2006_30	2006_2007	2	2004	male	0.55	0.555
2006_31	2005_2006	4	2001	female	0.557	0.578
2006_32	2006_2007	2	2004	female	0.555	0.566
2006_33	2005_2006	2	2003	male	0.552	0.56
2006_34	2005_2006	6	1999	male	0.549	NA
2006_35	2005_2006	3	2002	male	0.551	0.545
2006_36	2005_2006	0	2005	male	0.549	0.571
2006_37	2005_2006	5	2000	female	0.064	0.598
2006_38	2005_2006	0	2005	female	0.55	0.577
2006_41	2005_2006	2	2003	male	0.554	0.558
2006_42	2005_2006	2	2003	male	0.554	0.557
2006_43	2005_2006	0	2005	male	0.551	0.569
2006_45	2005_2006	7	1998	male	0.039	NA
2006_46	2005_2006	4	2001	female	0.555	0.578
2006_47	2005_2006	3	2002	female	0.555	0.554
2006_48	2005_2006	5	2000	female	0.555	0.607
2006_49	2005_2006	2	2003	female	0.554	0.563
2006_50	2005_2006	5	2000	female	0.559	0.05
2006_51	2005_2006	0	2005	female	0.552	0.572
2006_52	2004_2005	2	2002	female	0.069	0.552
2006_62	2005_2006	3	2002	male	0.547	0.547
2006_69	2005_2006	0	2005	male	0.555	0.57
2006_72	2005_2006	3	2002	female	0.549	0.555
2006_77	2005_2006	2	2003	female	0.551	0.563
2006_84	2005_2006	0	2005	female	0.558	0.144
2006_85	2006_2007	0	2006	female	0.546	0.583
2006_87	2006_2007	4	2002	male	0.066	0.02
2006_88	2006_2007	0	2006	male	0.098	0.589
2006_92	2006_2007	0	2006	female	0.552	0.589
2006_93	2005_2006	3	2002	male	0.556	0.556
2007_01	2006_2007	0	2006	NA	0.555	0.588
2007_08	2006_2007	0	2006	male	0.553	0.592
2007_100	2006_2007	3	2003	female	0.555	0.559
2007_11	2006_2007	0	2006	female	0.558	0.166
2007_118	2007_2008	0	2007	female	0.578	0.586
2007_15	2006_2007	0	2006	female	0.557	0.589
2007_27	2006_2007	0	2006	male	0.561	0.586
2007_35	2006_2007	6	2000	male	0.005	0.034
2007_36	2006_2007	4	2002	male	0.556	0.556
2007_37	2006_2007	8	1998	female	0.555	NA
2007_38	2006_2007	1	2005	male	0.018	0.026
2007_39	2006_2007	0	2006	male	0.553	0.59
2007_40	2006_2007	1	2005	male	0.564	0.574
2007_42	2006_2007	2	2004	female	0.051	0.089
2007_44	2006_2007	2	2004	female	0.554	0.558
2007_50	2006_2007	4	2002	female	0.559	0.543
2007_51	2006_2007	0	2006	male	0.556	0.581
2007_54	2006_2007	4	2002	female	0.564	0.551
2007_56	2006_2007	4	2002	male	0.55	0.547
2007_59	2006_2007	0	2006	female	0.553	0.581
2007_62	2006_2007	3	2003	female	0.002	0.002
2007_63	2006_2007	1	2005	male	0.554	0.577
2007_64	2006_2007	0	2006	male	0.552	0.585
2007_65	2006_2007	2	2004	male	0.001	0
2007_67	2006_2007	5	2001	male	0.561	0.575
2007_75	2006_2007	NA	2006	male	0.037	0.116
2007_76	2006_2007	0	2006	male	0.557	0.579
2007_78	2006_2007	3	2003	male	0.031	0.01
2007_80	2006_2007	0	2006	male	0.552	0.586
2007_81	2006_2007	1	2005	male	0.562	0.577
2007_82	2006_2007	0	2006	male	0.022	0.058
2007_83	2006_2007	0	2006	male	0.549	0.584
2007_87	2006_2007	5	2001	male	0.562	0.582
2007_88	2006_2007	0	2006	male	0.558	0.586
2007_91	2006_2007	0	2006	female	0.554	0.578
2007_97	2006_2007	5	2001	female	0.555	0.576
2007_99	2007_2008	1	2006	female	0.571	0.579
2008_100	2007_2008	0	2007	male	0.572	0.588
2008_101	2007_2008	0	2007	female	0.563	0.584
2008_104	2007_2008	0	2007	female	0.571	0.577
2008_107	2007_2008	0	2007	male	0.571	0.573
2008_108	2007_2008	1	2006	male	0.019	0.589
2008_110	2007_2008	0	2007	female	0.143	0.158
2008_111	2007_2008	0	2007	female	0.061	0.577
2008_113	2007_2008	0	2007	male	0.002	0.003
2008_114	2007_2008	0	2007	male	0.135	0.577
2008_117	2007_2008	0	2007	male	0.018	0.008
2008_118	2007_2008	0	2007	male	0.573	0.58
2008_120	2007_2008	0	2007	female	0.578	0.578
2008_132	2007_2008	0	2007	female	0.574	0.587
2008_136	2007_2008	0	2007	male	0.572	0.578
2008_142	2007_2008	0	2007	female	0.567	0.574
2008_153	2007_2008	0	2007	male	0.576	0.581
2008_154	2007_2008	0	2007	male	0.569	0.588
2008_155	2007_2008	0	2007	female	0.57	0.579
2008_159	2007_2008	5	2002	male	0.576	0.018
2008_160	2007_2008	0	2007	male	0.575	0.58
2008_164	2007_2008	0	2007	female	0.074	0.027
2008_166	2008_2009	0	2008	male	0.584	0.581
2008_169	2007_2008	8	1999	male	0.572	NA
2008_178	2007_2008	2	2005	female	0.093	0.01
2008_182	2007_2008	0	2007	female	0.571	0.589
2008_192	2007_2008	8	1999	female	0.016	NA
2008_203	2007_2008	2	2005	male	0.565	0.573
2008_204	2007_2008	1	2006	female	0.575	0.581
2008_209	2007_2008	0	2007	male	0.575	0.585
2008_213	2007_2008	1	2006	male	0.58	0.127
2008_214	2007_2008	1	2006	female	0.574	0.595
2008_218	2008_2009	0	2008	female	0.588	0.58
2008_43	2007_2008	0	2007	male	0.578	0.586
2008_53	2007_2008	1	2006	male	0	0
2008_59	2007_2008	0	2007	female	0.574	0.583
2008_60	2007_2008	1	2006	male	0.572	0.584
2008_70	2007_2008	0	2007	female	0.566	0.584
2008_71	2007_2008	2	2005	male	0.569	0.578
2008_75	2007_2008	2	2005	male	0.003	0.005
2008_80	2007_2008	1	2006	female	0.564	0.594
2008_83	2007_2008	0	2007	female	0.571	0.575
2008_85	2007_2008	0	2007	female	0.574	0.583
2008_87	2007_2008	2	2005	female	0.121	0.082
2008_88	2007_2008	0	2007	male	0.56	0.59
2008_91	2007_2008	8	1999	male	0.094	NA
2008_92	2007_2008	0	2007	female	0.56	0.582
2008_94	2007_2008	2	2005	male	0.124	0.114
2008_95	2007_2008	1	2006	male	0.565	0.584
2008_96	2007_2008	1	2006	female	0.141	0.59
2008_99	2007_2008	6	2001	female	0.578	0.581
2009_03	2008_2009	1	2007	male	0.592	0.588
2009_08	2008_2009	2	2006	male	0.578	0.588
2009_11	2008_2009	2	2006	female	0.051	0.047
2009_13	2008_2009	1	2007	female	0.586	0.58
2009_15	2008_2009	1	2007	male	0.579	0.15
2009_16	2008_2009	1	2007	female	0.583	0.583
2009_20	2008_2009	1	2007	female	0.581	0.577
2009_22	2008_2009	3	2005	female	0.581	0.576
2009_23	2008_2009	2	2006	female	0.577	0.585
2009_40	2008_2009	2	2006	male	0.134	0.142
2009_48	2008_2009	1	2007	female	0.581	0.584
2009_50	2008_2009	1	2007	male	0.058	0.123
2009_51	2008_2009	0	2008	female	0.581	0.583
2009_52	2008_2009	0	2008	female	0.095	0.125
2009_55	2008_2009	1	2007	male	0.577	0.586
2009_56	2008_2009	NA	2008	male	0.588	0.581
2009_57	2008_2009	1	2007	male	0.585	0.586
2009_58	2008_2009	2	2006	male	0.089	0.078
2009_59	2008_2009	1	2007	female	0.585	0.582
2009_60	2008_2009	1	2007	male	0.024	0.109
2009_61	2008_2009	1	2007	female	0.572	0.586
2009_62	2008_2009	1	2007	female	0.586	0.586
2009_65	2008_2009	1	2007	male	0.087	0.582
2009_66	2009_2010	2	2007	female	0.583	0.584
2009_68	2008_2009	6	2002	female	0.588	0.552
2009_78	2009_2010	4	2005	female	0.04	0.052
2009_82	2008_2009	2	2006	female	0.01	0.011
2009_84	2009_2010	0	2009	male	0.583	0.563
2009_85	2009_2010	0	2009	female	0.577	0.573
2009_95	2009_2010	2	2007	male	0.576	0.577
2010_04	2009_2010	2	2007	male	0.579	0.585
2010_06	2009_2010	2	2007	female	0.046	0.103
2010_19	2009_2010	2	2007	male	0.586	0.586
2010_34	2010_2011	5	2005	female	0.066	0.091
2010_39	2008_2009	0	2008	female	0.586	0.588
2010_40	2010_2011	4	2006	female	0.571	0.589
2010_41	2009_2010	1	2008	male	0.583	0.58
2010_42	2009_2010	3	2006	male	0.586	0.581
2010_44	2009_2010	2	2007	male	0.58	0.58
2010_45	2009_2010	1	2008	male	0.093	0.577
2010_46	2009_2010	2	2007	female	0.587	0.583
2010_47	2009_2010	0	2009	male	0.586	0.577
2010_48	2009_2010	2	2007	male	0.576	0.581
2010_49	2009_2010	0	2009	male	0.582	0.569
2010_50	2009_2010	2	2007	male	0.59	0.588
2010_51	2009_2010	2	2007	male	0.09	0.084
2010_52	2009_2010	1	2008	male	0.574	0.579
2010_54	2009_2010	2	2007	female	0.58	0.576
2010_55	2009_2010	2	2007	female	0.593	0.583
2010_64	2009_2010	0	2009	female	0.583	0.574
2010_65	2009_2010	0	2009	male	0.588	0.572
2010_70	2009_2010	0	2009	female	0.057	0
2010_76	2008_2009	1	2007	female	0.578	0.581
2010_77	2008_2009	2	2006	male	0.581	0.591
2010_78	2008_2009	1	2007	male	0.013	0.023
2011_100	2010_2011	0	2010	male	0.005	0.005
2011_101	2010_2011	2	2008	male	0.574	0.58
2011_102	2010_2011	3	2007	male	0.577	0.586
2011_103	2010_2011	0	2010	female	0.577	0.56
2011_105	2010_2011	0	2010	male	0.576	0.563
2011_108	2010_2011	0	2010	male	0.577	0.558
2011_34	2010_2011	3	2007	male	0.571	0.58
2011_35	2010_2011	0	2010	female	0.575	0.565
2011_43	2010_2011	0	2010	female	0.575	0.559
2011_45	2010_2011	2	2008	male	0.581	0.588
2011_49	2010_2011	2	2008	female	0.096	0.58
2011_52	2010_2011	4	2006	male	0.579	0.104
2011_56	2010_2011	1	2009	female	0.581	0.068
2011_68	2010_2011	1	2009	female	0.582	0.576
2011_70	2010_2011	0	2010	male	0.568	0.566
2011_71	2010_2011	1	2009	female	0.57	0.571
2011_72	2010_2011	1	2009	male	0.574	0.578
2011_73	2010_2011	4	2006	male	0.574	0.6
2011_74	2010_2011	0	2010	male	0.582	0.566
2011_75	2010_2011	0	2010	female	0.573	0.57
2011_76	2010_2011	0	2010	male	0.577	0.07
2011_77	2010_2011	0	2010	male	0.57	0.56
2011_78	2010_2011	2	2008	female	0.585	0.586
2011_79	2010_2011	3	2007	female	0.572	0.589
2011_81	2010_2011	0	2010	male	0.584	0.564
2011_82	2010_2011	0	2010	male	0.577	0.568
2011_83	2010_2011	0	2010	female	0.578	0.567
2011_84	2010_2011	NA	2010	female	0.576	0.559
2011_85	2010_2011	0	2010	male	0.579	0.069
2011_86	2010_2011	0	2010	female	0.582	0.569
2011_87	2010_2011	0	2010	male	0.576	0.565
2011_88	2010_2011	0	2010	male	0.57	0.559
2011_89	2010_2011	3	2007	male	0.583	0.583
2011_90	2010_2011	0	2010	male	0.576	0.555
2011_91	2010_2011	2	2008	male	0.571	0.149
2011_92	2010_2011	0	2010	female	0.58	0.561
2011_93	2010_2011	0	2010	male	0.005	0.002
2011_94	2010_2011	0	2010	female	0.117	0.565
2011_95	2010_2011	0	2010	female	0.579	0.567
2011_96	2010_2011	0	2010	female	0.57	0.564
2011_97	2010_2011	1	2009	female	0.583	0.575
2011_98	2010_2011	0	2010	female	0.577	0.56
2011_99	2010_2011	0	2010	female	0.575	0.573
2012_123	2011_2012	1	2010	female	0.569	0.558
2012_124	2011_2012	1	2010	male	0.571	0.563
2012_127	2011_2012	1	2010	female	0.566	0.116
2012_130	2011_2012	0	2011	male	0.572	0.58
2012_132	2011_2012	1	2010	female	0.573	0.561
2012_133	2011_2012	2	2009	female	0.026	0.076
2012_136	2011_2012	1	2010	female	0.565	0.566
2012_140	2011_2012	6	2005	female	0.572	0.577
2012_143	2011_2012	0	2011	male	0.569	0.577
2012_145	2011_2012	0	2011	female	0.575	0.573
2012_146	2011_2012	4	2007	male	0.57	0.018
2012_150	2011_2012	2	2009	male	0.002	0.006
2012_152	2011_2012	0	2011	female	0.569	0.57
2012_154	2011_2012	0	2011	female	0.568	0.573
2012_155	2011_2012	0	2011	female	0.008	0
2012_156	2011_2012	0	2011	male	0.577	0.578
2012_161	2011_2012	1	2010	male	0.118	0.075
2012_165	2011_2012	0	2011	male	0.015	0.015
2012_169	2011_2012	0	2011	male	0.567	0.571
2012_174	2011_2012	0	2011	female	0.57	0.572
2012_176	2011_2012	1	2010	male	0.565	0.567
2012_177	2011_2012	1	2010	male	0.569	0.562
2012_181	2011_2012	1	2010	female	0.566	0.561
2012_182	2011_2012	2	2009	male	0.572	0.571
2012_184	2011_2012	0	2011	male	0.572	0.58
2012_188	2011_2012	0	2011	female	0.132	0.577
2012_191	2011_2012	0	2011	male	0.563	0.564
2012_192	2011_2012	0	2011	female	0.106	0.114
2012_203	2012_2013	1	2011	female	0.585	0.572
2012_208	2011_2012	0	2011	female	0.571	0.129
2012_210	2012_2013	2	2010	male	0.068	0.016
2012_211	2012_2013	0	2012	female	0.594	0.586
2012_213	2011_2012	0	2011	male	0.558	0.578
2012_215	2011_2012	3	2008	female	0.571	0.582
2012_218	2011_2012	0	2011	male	0.568	0.583
2012_222	2011_2012	5	2006	female	0.57	0.587
2012_226	2011_2012	1	2010	female	0.576	0.568
2012_235	2011_2012	1	2010	male	0.574	0.575
2012_239	2012_2013	1	2011	male	0.033	0.035
2012_32	2011_2012	0	2011	female	0.569	0.581
2012_33	2011_2012	0	2011	male	0.057	0.578
2012_39	2011_2012	0	2011	male	0.575	0.576
2012_63	2011_2012	0	2011	female	0.572	0.577
2012_64	2011_2012	3	2008	male	0.57	0.078
2012_74	2011_2012	0	2011	female	0.567	0.571
2012_79	2011_2012	1	2010	female	0.026	0.064
2012_80	2011_2012	0	2011	male	0.086	0.574
2012_81	2011_2012	1	2010	male	0.003	0.024
2012_84	2011_2012	2	2009	female	0.038	0.034
2012_85	2011_2012	2	2009	male	0.58	0.578
2012_89	2011_2012	2	2009	female	0.562	0.572
2012_93	2011_2012	2	2009	male	0.077	0.068
2012_94	2011_2012	0	2011	female	0.564	0.574
2012_95	2011_2012	1	2010	male	0.102	0.037
2013_04	2012_2013	1	2011	male	0.587	0.575
2013_08	2012_2013	2	2010	female	0.584	0.566
2013_10	2012_2013	0	2012	male	0.591	0.586
2013_100	2012_2013	0	2012	male	0.585	0.175
2013_102	2012_2013	1	2011	male	0.586	0.583
2013_105	2012_2013	2	2010	male	0.585	0.564
2013_108	2012_2013	1	2011	male	0.06	0.045
2013_110	2012_2013	2	2010	male	0.578	0.564
2013_112	2012_2013	1	2011	male	0.085	0.119
2013_113	2012_2013	1	2011	male	0.013	0.009
2013_114	2013_2014	4	2009	female	0.58	0.57
2013_116	2013_2014	1	2012	male	0.58	0.583
2013_117	2013_2014	2	2011	female	0.569	0.574
2013_120	2013_2014	0	2013	male	0.566	0.567
2013_17	2012_2013	1	2011	male	0.088	0.576
2013_23	2012_2013	0	2012	male	0.098	0.042
2013_26	2012_2013	1	2011	female	0.588	0.571
2013_27	2012_2013	1	2011	female	0.573	0.577
2013_28	2012_2013	1	2011	male	0.59	0.581
2013_31	2012_2013	4	2008	female	0.579	0.578
2013_38	2012_2013	1	2011	female	0.042	0.052
2013_47	2012_2013	1	2011	male	0.587	0.572
2013_48	2012_2013	1	2011	female	0.013	0.004
2013_51	2012_2013	1	2011	female	0.588	0.58
2013_54	2012_2013	0	2012	female	0.018	0.004
2013_60	2012_2013	1	2011	male	0.079	0.08
2013_63	2012_2013	1	2011	female	0.584	0.576
2013_64	2012_2013	0	2012	male	0.573	0.586
2013_65	2012_2013	1	2011	female	0.585	0.578
2013_67	2012_2013	1	2011	male	0.593	0.57
2013_68	2012_2013	2	2010	male	0.587	0.565
2013_69	2012_2013	1	2011	female	0.581	0.571
2013_71	2012_2013	1	2011	female	0.589	0.58
2013_72	2012_2013	1	2011	female	0.172	0.125
2013_74	2012_2013	1	2011	male	0.007	0.004
2013_75	2012_2013	1	2011	male	0.575	0.565
2013_77	2012_2013	1	2011	female	0.595	0.575
2013_78	2012_2013	1	2011	female	0.585	0.576
2013_79	2012_2013	1	2011	female	0.585	0.573
2013_80	2012_2013	5	2007	female	0.584	0.586
2013_82	2012_2013	1	2011	male	0	0
2013_87	2012_2013	1	2011	female	0.589	0.577
2013_88	2012_2013	0	2012	female	0.59	0.581
2013_90	2012_2013	1	2011	female	0.595	0.572
2013_91	2012_2013	0	2012	male	0.129	0.144
2013_93	2012_2013	1	2011	male	0.587	0.577
2013_95	2012_2013	2	2010	female	0.577	0.567
2013_96	2012_2013	1	2011	female	0.578	0.581
2013_97	2012_2013	1	2011	male	0.078	0.087
2014_01	2013_2014	2	2011	female	0.574	0.584
2014_02	2013_2014	2	2011	male	0.572	0.577
2014_03	2013_2014	1	2012	male	0.016	0.031
2014_04	2013_2014	3	2010	female	0.579	0.565
2014_05	2013_2014	0	2013	female	0.583	0.568
2014_06	2013_2014	2	2011	female	0.572	0.567
2014_07	2013_2014	2	2011	male	0.571	0.576
2014_08	2013_2014	1	2012	male	0.57	0.583
2014_09	2013_2014	1	2012	male	0.579	0.577
2014_10	2013_2014	1	2012	female	0.565	0.586
2014_11	2013_2014	2	2011	female	0.575	0.572
2014_12	2013_2014	2	2011	male	0.568	0.573
2014_13	2013_2014	2	2011	male	0.568	0.577
2014_14	2013_2014	2	2011	female	0.056	0.107
2014_15	2013_2014	2	2011	male	0.568	0.562
2014_16	2013_2014	0	2013	male	0.574	0.569
2014_17	2013_2014	0	2013	male	0.574	0.563
2014_18	2013_2014	3	2010	female	0.573	0.566
2014_20	2013_2014	2	2011	male	0.571	0.577
2014_22	2013_2014	2	2011	male	0.58	0.575
2014_23	2013_2014	2	2011	female	0.09	0.125
2014_24	2013_2014	2	2011	male	0.565	0.575
2014_25	2013_2014	2	2011	male	0.579	0.576
2014_26	2013_2014	2	2011	female	0.087	0.058
2014_27	2013_2014	1	2012	male	0.568	0.585
2014_28	2013_2014	6	2007	male	0.571	0.581
2014_29	2013_2014	1	2012	male	0.134	0.58
2014_31	2013_2014	2	2011	female	0.093	0.104
2014_32	2013_2014	2	2011	female	0.575	0.572
2014_33	2013_2014	7	2006	male	0.573	0.589
2014_34	2013_2014	3	2010	male	0.572	0.567
2014_35	2013_2014	1	2012	male	0.568	0.59
2014_36	2013_2014	6	2007	female	0.578	0.586
2014_37	2013_2014	2	2011	female	0.572	0.57
2014_39	2013_2014	1	2012	male	0.005	0.007
2014_40	2013_2014	2	2011	male	0.573	0.57
2014_41	2013_2014	3	2010	female	0.576	0.096
2014_42	2013_2014	2	2011	male	0.084	0.089
2014_43	2013_2014	2	2011	female	0.577	0.579
2014_44	2013_2014	1	2012	female	0.574	0.58
41	2008_2009	NA	2008	male	0.583	0.582
43	2008_2009	NA	2008	male	0.59	0.111
50	2009_2010	0	2009	female	0.581	0.569
658	2011_2012	NA	2011	male	0.567	0.573
